   4.5410000e+02   3.7476122e+00  -8.0285896e-02  -2.5533550e-02   3.7476122e+00  -8.0285896e-02  -2.5533550e-02
   4.5420000e+02   3.7476494e+00  -8.1708784e-02  -2.8102361e-02   3.7476494e+00  -8.1708784e-02  -2.8102361e-02
   4.5430000e+02   3.7477042e+00  -8.3019784e-02  -3.0797680e-02   3.7477042e+00  -8.3019784e-02  -3.0797680e-02
   4.5440000e+02   3.7477752e+00  -8.4221980e-02  -3.3593834e-02   3.7477752e+00  -8.4221980e-02  -3.3593834e-02
   4.5450000e+02   3.7478611e+00  -8.5318192e-02  -3.6465737e-02   3.7478611e+00  -8.5318192e-02  -3.6465737e-02
   4.5460000e+02   3.7479605e+00  -8.6310772e-02  -3.9389164e-02   3.7479605e+00  -8.6310772e-02  -3.9389164e-02
   4.5470000e+02   3.7480718e+00  -8.7201436e-02  -4.2340856e-02   3.7480718e+00  -8.7201436e-02  -4.2340856e-02
   4.5480000e+02   3.7481937e+00  -8.7991128e-02  -4.5298548e-02   3.7481937e+00  -8.7991128e-02  -4.5298548e-02
   4.5490000e+02   3.7483247e+00  -8.8679920e-02  -4.8241056e-02   3.7483247e+00  -8.8679920e-02  -4.8241056e-02
   4.5500000e+02   3.7484636e+00  -8.9266908e-02  -5.1148500e-02   3.7484636e+00  -8.9266908e-02  -5.1148500e-02
   4.5510000e+02   3.7486092e+00  -8.9750140e-02  -5.4002624e-02   3.7486092e+00  -8.9750140e-02  -5.4002624e-02
   4.5520000e+02   3.7487603e+00  -9.0126660e-02  -5.6787112e-02   3.7487603e+00  -9.0126660e-02  -5.6787112e-02
   4.5530000e+02   3.7489160e+00  -9.0392612e-02  -5.9487788e-02   3.7489160e+00  -9.0392612e-02  -5.9487788e-02
   4.5540000e+02   3.7490754e+00  -9.0543412e-02  -6.2092716e-02   3.7490754e+00  -9.0543412e-02  -6.2092716e-02
   4.5550000e+02   3.7492376e+00  -9.0573808e-02  -6.4592188e-02   3.7492376e+00  -9.0573808e-02  -6.4592188e-02
   4.5560000e+02   3.7494018e+00  -9.0477888e-02  -6.6978696e-02   3.7494018e+00  -9.0477888e-02  -6.6978696e-02
